energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.72,0.102,149.987,0.0368,0.618,0.344,4,0.38,7,260886,-5.836,0.706,1,audio_features,spotify:track:6bqvKQqfWvXI2DywyWcx6u
0.919,0.633,140.144,0.101,6.69e-05,0.00219,4,0.4,4,88625,-7.224,0.35,1,audio_features,spotify:track:58HNgmdBPMmukPYZIPGdyE
0.675,0.145,97.055,0.0236,0.101,0.4,4,0.563,9,283489,-6.388,0.338,1,audio_features,spotify:track:716o3pxJHGeIEGIBqOvXJC
0.876,0.172,193.75,0.0999,0.000842,0.757,4,0.236,6,246875,-9.406,0.665,1,audio_features,spotify:track:3G7Duquc9s8vYCE16fD51C
0.847,0.0813,169.98,0.0528,0.00219,0.000203,5,0.483,1,204000,-5.106,0.746,0,audio_features,spotify:track:5U4TMT28sQlLxiwAbCcgJM
0.908,0.115,173.948,0.0283,0.000313,0.846,4,0.429,2,165172,-6.136,0.546,0,audio_features,spotify:track:5CtWoyM8wKr81TgNfGAGJH
0.956,0.354,172.029,0.0717,1.4e-06,0.902,4,0.33,2,177209,-5.46,0.269,1,audio_features,spotify:track:752PksuWLbO1FAmbyPPEsi
0.86,0.0959,105.0,0.0403,0.00276,0.896,4,0.568,8,177143,-9.94,0.236,0,audio_features,spotify:track:0NBCioWU46KHuYAayNzLet
0.973,0.816,105.015,0.045,0.152,0.41,3,0.418,2,67280,-0.288,0.564,1,audio_features,spotify:track:6VRe4gpVLcf8cTIvvvzq3u
0.908,0.474,110.779,0.449,0.000667,0.00446,4,0.321,4,231231,-3.366,0.27,0,audio_features,spotify:track:0OtAlFdKQWBef1ENS0TRei
0.497,0.136,139.946,0.0295,0.0335,0.837,4,0.573,4,192000,-12.103,0.313,0,audio_features,spotify:track:2xvU71dnZ5XXImwYKZVgu9
0.734,0.123,91.978,0.0436,0.0225,0.00572,4,0.634,1,213714,-6.271,0.639,0,audio_features,spotify:track:5yxHHICsvm43qpGvlWsgQT
0.598,0.107,111.003,0.0352,0.587,0.0,4,0.806,0,244533,-7.722,0.212,1,audio_features,spotify:track:4uoPUH5GDt8GqgOglKV6u2
0.967,0.0561,150.115,0.0941,0.000237,0.817,4,0.271,8,288100,-4.216,0.332,1,audio_features,spotify:track:0OvtAU3iAm2XUXij5Nwr4I
0.938,0.101,173.049,0.0781,0.00163,1.28e-05,4,0.315,10,273552,-3.512,0.427,1,audio_features,spotify:track:4mDGnrpHdyxgl2OqP1pm0p
0.749,0.126,180.228,0.185,0.24,0.0,4,0.494,2,183787,-3.309,0.271,1,audio_features,spotify:track:55XRXhQeU25IwqVpjQqxkz
0.883,0.078,160.077,0.0464,2.18e-05,0.000629,4,0.396,9,209920,-3.939,0.289,1,audio_features,spotify:track:5ItHGo5Ye84kP8ULTUynwP
0.8,0.125,145.015,0.0345,5.48e-06,0.0,4,0.412,7,246173,-5.817,0.17,1,audio_features,spotify:track:31T7uoLzbyUgUs2RFtK3xR
0.896,0.252,138.018,0.0443,0.0367,0.00695,4,0.499,2,208261,-4.858,0.54,0,audio_features,spotify:track:0t61hMIO7h02TjiDulSliM
0.316,0.115,114.643,0.314,0.962,0.91,4,0.627,3,269296,-15.572,0.124,0,audio_features,spotify:track:64XGKpzNUEBskFPdMAjeEU
0.642,0.0906,141.198,0.0529,0.952,0.937,3,0.281,0,209392,-12.121,0.0326,1,audio_features,spotify:track:78C0D77EbqbHbvQxCPWGyX
0.693,0.105,174.077,0.0302,1.64e-05,0.0538,4,0.384,0,185865,-4.752,0.503,1,audio_features,spotify:track:1JYSBD5eWPoa25Z6Np6IqD
